Word, Score
innovation,0.1109
management,0.10377
and,0.02778
the,0.00983
chief,0.36701
executive,0.34049
dieter,0.26582
puth,0.25723
sheedy,0.25723
wemmer,0.25723
creditease,0.25022
cls,0.24429
william,0.23058
david,0.21498
visa,0.20589
officer,0.19382
international,0.17726
corporate,0.17359
strategy,0.16945
offi,0.15918
government,0.15629
relations,0.14607
fintech,0.14051
global,0.12442
partner,0.11653
fund,0.09976
bank,0.07701
financial,0.06411
project,0.25194
helped,0.23062
executives,0.21036
allianz,0.20672
strategic,0.18645
members,0.17513
working,0.17247
shape,0.17122
acknowledge,0.16771
framework,0.16161
team,0.15336
define,0.14922
following,0.14113
like,0.12946
group,0.12837
also,0.12802
who,0.11935
anal,0.11622
would,0.11334
global,0.11155
cer,0.08221
institutions,0.07647
financial,0.05748
the,0.03934
and,0.01389
head,0.28363
calmjane,0.25348
group,0.24819
bottomley,0.23996
josh,0.23037
thomas,0.23037
christof,0.22294
edel,0.22294
hastings,0.21686
global,0.21566
brown,0.21172
claire,0.21172
lloyds,0.20334
hsbc,0.18632
paul,0.18214
yses,0.16672
working,0.16672
director,0.1497
strategy,0.14686
banking,0.11813
innovation,0.1072
partner,0.10099
bus,0.09201
digital,0.08379
its,0.0817
bank,0.06674
and,0.01343
roland,0.30418
fejfar,0.30418
ibd,0.30418
americas,0.27645
vice‐president,0.26752
hillenius,0.26752
dorothy,0.26023
stanley,0.22634
galaski,0.22358
adviser,0.221
thomson,0.21412
reuters,0.20826
morgan,0.19861
director,0.17964
leader,0.17623
deloitte,0.15103
development,0.14933
fintech,0.14613
project,0.14613
rob,0.14107
financial,0.13335
iness,0.10796
cor,0.10309
services,0.09145
vice‐president,0.53505
strategy,0.52869
executive,0.35411
lena,0.27645
mass‐cresnik,0.27645
phd,0.27645
mumm,0.27645
matarranz,0.26752
victor,0.26023
neil,0.26023
santander,0.2398
chairman,0.23251
blackrock,0.22634
senior,0.20648
porate,0.18053
corporate,0.18053
office,0.17309
vis,0.11202
bank,0.08009
and,0.01611
ing,0.01236
managing,0.35467
director,0.32078
head,0.30389
svp,0.24683
neukirchen,0.23886
pinkham,0.23886
justin,0.23235
palatnick,0.22684
dtcc,0.20759
architect,0.20474
robert,0.20209
max,0.19962
mastercard,0.19732
morgan,0.17733
chief,0.1704
chase,0.15884
strategy,0.15735
group,0.13296
innovation,0.11486
technology,0.10914
payments,0.10571
and,0.04316
a,3e-05
rangaswami,0.26663
evp,0.25597
co‐head,0.25597
reany,0.24771
rutland,0.24095
nicolas,0.24095
skowronski,0.24095
cvc,0.23525
deputy,0.23525
bob,0.22594
peter,0.21232
mastercard,0.20463
deutsche,0.20238
officer,0.18665
chief,0.17671
partners,0.12483
solutions,0.12249
global,0.11981
partner,0.11221
capital,0.10464
identity,0.09004
product,0.08616
services,0.08468
data,0.08282
bank,0.07416
financial,0.06174
and,0.01492
head,0.30389
schroders,0.27159
fabian,0.27159
teichholtz,0.23886
vandenreydt,0.23886
pine,0.23235
global,0.23107
julius,0.22684
baer,0.22684
huw,0.22684
steenis,0.22684
colin,0.22684
portfolio,0.17733
river,0.17733
strategy,0.15735
manager,0.13726
group,0.13296
hea,0.12596
van,0.11692
partner,0.1082
management,0.10747
solution,0.1052
capital,0.1009
investment,0.09434
bank,0.07151
and,0.01439
swift,0.37522
editors,0.27159
davos‐,0.2571
klosters,0.2571
innotribe,0.24683
institute,0.2107
meeting,0.20474
annual,0.19732
note,0.19311
2014,0.18595
launched,0.18138
world,0.17675
securities,0.1737
disruptive,0.1646
was,0.1646
project,0.13047
markets,0.1239
innovation,0.11486
forum,0.09872
economic,0.0968
services,0.08165
financial,0.05953
the,0.03056
d,0.00013
aftershocks,0.2453
wings,0.2453
navigating,0.23222
promised,0.21575
consumed,0.20058
reshape,0.19678
crisis,0.17103
still,0.16256
rapidly,0.16135
growing,0.14948
was,0.14867
new,0.14533
entrants,0.14212
challenge,0.12251
fintech,0.11784
financial,0.10754
global,0.10435
system,0.06687
but,0.06649
that,0.06235
form,0.0478
with,0.04724
the,0.046
for,0.02071
h,0.00112
draws,0.26222
nearly,0.23062
provisioned,0.22434
consumed,0.21442
reflect,0.21442
impacts,0.21442
structured,0.19768
initiative,0.19512
stock,0.18282
taking,0.18114
four,0.178
close,0.17513
opportunity,0.16771
years,0.16661
later,0.15979
were,0.14494
changes,0.14326
financial,0.11496
take,0.11427
this,0.09771
products,0.09145
system,0.07148
ow,0.03974
the,0.03934
and,0.01389
importantly,0.28164
horizon,0.25597
considering,0.24771
lies,0.21528
had,0.21232
evolving,0.20463
presents,0.19119
opportunity,0.18013
beyond,0.17259
relationships,0.16633
consider,0.1563
both,0.15271
fintechs,0.14841
regulators,0.12299
what,0.12299
incumbents,0.121
have,0.08741
more,0.08523
services,0.08468
that,0.07158
their,0.07009
financial,0.06174
with,0.05424
and,0.02984
for,0.02378
the,0.01056
seismic,0.27159
triggered,0.24683
industrial,0.23886
revolution,0.23886
fourth,0.23235
pioneered,0.23235
extend,0.19311
far,0.18284
beyond,0.16643
technologies,0.14726
fintechs,0.14311
which,0.12419
shift,0.11935
financial,0.11906
implications,0.10307
have,0.08429
system,0.07404
service,0.07211
use,0.07099
that,0.06903
their,0.06758
will,0.06404
the,0.05093
characterized,0.24824
reshaped,0.24824
disrupted,0.22434
decades,0.21442
chains,0.20044
every,0.19052
being,0.14437
stakeholder,0.13679
industry,0.11499
regulators,0.11451
incumbents,0.11266
other,0.10783
implications,0.09951
value,0.09699
have,0.08138
customers,0.07389
system,0.07148
that,0.06665
financial,0.05748
with,0.0505
are,0.04792
for,0.04429
and,0.02778
the,0.01967
th,0.00473
s,2e-05
hope,0.24824
transforming,0.23832
fourth,0.22434
upon,0.18843
series,0.18282
understanding,0.17513
financial,0.17243
previous,0.16555
forces,0.16255
stakeholders,0.15563
better,0.14671
build,0.13173
report,0.13134
many,0.11523
future,0.09699
work,0.09085
our,0.08563
services,0.07884
provide,0.07245
system,0.07148
with,0.0505
the,0.03934
is,0.01941
and,0.01389
americas,0.25597
contents,0.25597
services,0.25403
galaski,0.20702
mcwaters,0.20463
outlook,0.20238
jesse,0.20238
disruptive,0.17069
context,0.16633
leader,0.16317
well,0.15958
deloitte,0.13984
project,0.1353
rob,0.13062
financial,0.12347
innovation,0.11912
lead,0.11259
future,0.10418
forum,0.10238
economic,0.10038
world,0.09165
its,0.09078
for,0.02378
a,3e-05
approach…………………………………………………….………………………………………………………………………………………………..……………,0.6337
payments…………,0.6337
…………………………………………………………………………………………………………………………………………………..…,0.59991
3.1,0.59991
dives,0.49164
sector,0.37424
deep,0.36714
findings,0.24911
uncertainties,0.23865
key,0.21208
and,0.03357
nd,0.01587
insurance…………………………………………………………………………………………………………………………………………………………………………………,1.2674
banking…………………………………………………………………………………………,1.2674
3.2,1.19982
3.3,1.11468
………………………………………………………………………………………………………………………………………………………………………,1.05861
digital,0.41895
lending………………………………………………………………………………………………………………………………………………………………………………………,1.08634
management…………………………………………………………………………………………………………………………………………………………,1.08634
3.4,1.02842
3.5,1.02842
105,0.9294
………………………………………………………………………………,0.85642
investment,0.37736
crowdfunding…………………………………………………………………………………………………………………………………………………………………,0.76044
infrastructure………………………………………………………………………………………………………………………………………………………………,0.76044
3.6,0.71989
3.7,0.69112
168,0.69112
126,0.66881
147,0.66881
acknowledgement,0.50017
equity,0.34223
market,0.19572
s……………………………………………………………………………………………………………………………………………………………………………,1.9011
189,1.79973
contact,1.38124
details,1.11723
context,0.89818
195,0.69112
2017,0.45134
section,0.43855
approach,0.4078
forum,0.27642
economic,0.27103
world,0.24745
and,0.04029
culmination,0.27159
phases,0.27159
december,0.23235
transformative,0.19962
past,0.19515
represents,0.19515
reports,0.19118
2014,0.18595
research,0.17733
since,0.16119
three,0.15735
approach,0.14564
fintechs,0.14311
report,0.13603
role,0.12419
ecosystem,0.1186
into,0.11209
this,0.1012
forum,0.09872
economic,0.0968
world,0.08837
services,0.08165
financial,0.05953
the,0.04074
and,0.01439
phase,0.43057
strived,0.28164
affected,0.24771
laid,0.24095
transformative,0.20702
foundation,0.20027
understanding,0.1881
stakeholders,0.16716
determine,0.16394
understand,0.16097
innovations,0.14596
impact,0.12819
ecosystem,0.12299
would,0.12174
has,0.10151
pot,0.09942
how,0.09902
out,0.09771
services,0.08468
financial,0.06174
all,0.05322
the,0.03169
for,0.02378
and,0.01492
innovations,0.30314
mapping,0.27688
taxonomy,0.24429
establishing,0.23916
futures,0.21498
possible,0.20025
understanding,0.19533
focused,0.18832
relevant,0.18832
entrants,0.16945
clear,0.15519
most,0.15108
fintech,0.14051
which,0.13374
models,0.12991
business,0.10948
ential,0.10616
services,0.08793
new,0.08664
financial,0.06411
are,0.05345
for,0.0494
and,0.01549
the,0.01097
fintech,0.28101
captured,0.25723
exploring,0.25022
phase,0.22356
evolutionary,0.22048
paths,0.21498
etc,0.20797
outcomes,0.18832
consumers,0.17823
stakeholders,0.17359
emerging,0.15157
innovations,0.15157
report,0.1465
regulators,0.12772
incumbents,0.12566
implications,0.111
future,0.10818
key,0.09788
financial,0.06411
are,0.05345
the,0.04388
se,0.01305
phase,0.46501
aimed,0.28796
future,0.22502
transformative,0.22358
shaping,0.221
illustrate,0.20826
understanding,0.20315
blockchain,0.19721
focused,0.19585
enabling,0.17542
power,0.16139
capabilities,0.14891
role,0.13909
infrastructure,0.13599
financial,0.13335
services,0.09145
rvices,0.09135
the,0.04563
and,0.01611
de‐risks,0.33063
simplifies,0.313
high‐level,0.29079
empowers,0.29079
simultaneously,0.27616
defining,0.25651
blueprint,0.25272
phase,0.25272
protocols,0.22637
identity,0.2114
fully,0.20038
characteristics,0.1993
infrastructure,0.14781
users,0.1432
transactions,0.13403
digital,0.10929
that,0.08403
financial,0.07247
cu,0.03697
and,0.03503
for,0.02792
lminated,0.29248
fintech,0.28101
technology‐enabled,0.26582
blueprint,0.22356
release,0.2125
reports,0.20589
document,0.17631
entrant,0.16791
define,0.16643
small,0.1424
infrastructure,0.13076
financial,0.12822
what,0.12772
two,0.11348
this,0.10899
future,0.10818
digital,0.09668
identity,0.0935
services,0.08793
new,0.08664
for,0.0247
the,0.02194
and,0.01549
apple,0.38103
definition,0.22434
technology,0.21074
include,0.17513
enter,0.16069
does,0.15563
context,0.15486
approach,0.14062
firms,0.12104
who,0.11935
financial,0.11496
focus,0.11311
large,0.10274
incumbent,0.10207
increase,0.10207
e.g,0.0983
this,0.09771
not,0.08831
key,0.08776
services,0.07884
pay,0.07808
institutions,0.07647
that,0.06665
their,0.06525
with,0.0505
f,0.00238
context,0.32078
report,0.27206
reshaping,0.24683
conducting,0.23235
exploration,0.22684
final,0.22208
phase,0.20759
returns,0.18761
forces,0.16836
2015,0.15258
broad,0.14617
approach,0.14564
current,0.11787
ecosy,0.11739
structure,0.10747
indings,0.10641
uncertainties,0.10228
key,0.09089
services,0.08165
financial,0.05953
the,0.05093
and,0.01439
considers,0.25348
builds,0.23037
reshaping,0.23037
exploring,0.21686
evolutionary,0.19109
paths,0.18632
reports,0.17844
previous,0.16003
forces,0.15713
well,0.14362
system,0.1382
report,0.12696
also,0.12375
structure,0.10031
implication,0.09575
this,0.09446
future,0.09376
work,0.08782
stem,0.06871
the,0.06655
their,0.06308
financial,0.05556
for,0.02141
report,0.22405
produce,0.22366
impact,0.2036
what,0.19534
ideas,0.19135
failed,0.17632
made,0.14937
have,0.13882
stakeholders,0.13275
since,0.13275
questions,0.12565
2015,0.12565
innovations,0.11591
most,0.11553
that,0.11369
ecosystem,0.09767
are,0.08175
how,0.07863
will,0.05274
financial,0.04903
the,0.04194
for,0.01889
and,0.01185
s,1e-05
innovations,0.28149
provisioned,0.23235
consumed,0.22208
these,0.2084
structured,0.20474
b2b,0.19118
broader,0.1704
ways,0.16285
partnerships,0.1436
which,0.12419
impact,0.12362
financial,0.11906
what,0.1186
implications,0.10307
future,0.10046
services,0.08165
system,0.07404
will,0.06404
are,0.04964
the,0.04074
and,0.01439
e,2e-05
context,0.44909
approach,0.27187
project,0.24354
months,0.21172
engaged,0.20334
150,0.19983
last,0.18417
workshops,0.18024
answe,0.17673
held,0.17355
key,0.16966
ecosystems,0.16672
experts,0.14896
team,0.14825
over,0.14399
merging,0.13094
order,0.12929
findings,0.09964
uncertainties,0.09546
with,0.04882
and,0.02686
the,0.01901
leaders,0.38169
c‐suite,0.28796
gained,0.27645
industry,0.26678
pivotal,0.26023
executives,0.24401
thought,0.23251
oversight,0.221
innovators,0.21207
guidance,0.21207
leadership,0.21207
held,0.20826
operating,0.19585
questions,0.17089
regulators,0.13283
global,0.1294
unit,0.11544
institutions,0.0887
from,0.08404
financial,0.06667
and,0.03223
r,9e-05
hubs,0.24771
multistakeholder,0.2303
in‐person,0.22204
300,0.22204
six,0.21851
facilitated,0.21232
workshops,0.20027
phone,0.19826
interviews,0.19636
100,0.1839
innovative,0.1826
total,0.18135
subject,0.17896
matter,0.17896
experts,0.16551
entrants,0.16317
participants,0.16317
includi,0.16169
over,0.15999
global,0.11981
with,0.10848
new,0.08343
financial,0.06174
and,0.02984
march,0.47664
2017,0.4669
usa,0.30245
davos‐klosters,0.26222
francisco,0.26222
switzerland,0.23062
january,0.23062
london,0.21902
april,0.21442
february,0.21036
york,0.20344
workshops,0.18645
innovators,0.18282
san,0.18114
subject,0.16661
matter,0.16661
leaders,0.16452
experts,0.1541
industry,0.11499
regulators,0.11451
global,0.11155
new,0.07767
2,0.06854
and,0.01389
ng,0.00851
2017,0.60178
key,0.33933
shenzhen,0.25348
toronto,0.25348
april,0.20727
findings,0.19929
uncertainties,0.19092
forum,0.18428
china,0.18417
economic,0.18069
world,0.16497
canada,0.16003
017,0.15045
context,0.1497
section,0.14618
approach,0.13593
may,0.09503
findi,0.09488
and,0.01343
fintechs,0.32057
technology‐enabled,0.27645
provisioned,0.26023
consumed,0.24872
changed,0.24401
structured,0.2293
dominant,0.21412
successfully,0.20826
overview,0.19721
themselves,0.19721
have,0.1888
established,0.17964
players,0.16432
small,0.1481
many,0.13367
how,0.10694
not,0.10244
ngs,0.09863
services,0.09145
but,0.08245
financial,0.06667
are,0.05559
and,0.01611
came,0.26222
overtaking,0.26222
existence,0.23832
shifted,0.23832
goal,0.20044
struggle,0.19274
dominant,0.18459
building,0.16352
new,0.15535
entrants,0.15192
adoption,0.14326
players,0.14165
partnerships,0.13865
scale,0.12018
incumbents,0.11266
into,0.10822
they,0.10447
with,0.101
have,0.08138
services,0.07884
but,0.07107
wh,0.06204
customer,0.05775
financial,0.05748
the,0.01967
and,0.01389
fintechs,0.41453
fallen,0.26222
seized,0.26222
succeeded,0.24824
subsector,0.24824
have,0.24414
direction,0.21442
defining,0.20344
almost,0.20344
initiative,0.19512
pace,0.19274
every,0.19052
short,0.17953
shape,0.17122
where,0.12191
across,0.11854
innovation,0.1109
services,0.07884
hav,0.07631
ere,0.0621
financial,0.05748
and,0.02778
the,0.01967
succeeded,0.2571
reshaped,0.2571
stand‐alone,0.24683
crucial,0.23886
bars,0.23235
setting,0.21787
chains,0.20759
parts,0.19962
expectations,0.18436
higher,0.15388
businesses,0.15258
both,0.14726
fintechs,0.14311
innovations,0.14074
rap,0.13485
like,0.13408
experience,0.12596
through,0.10075
value,0.10046
user,0.09653
have,0.08429
new,0.08045
customer,0.05981
financial,0.05953
and,0.02878
for,0.02293
e,2e-05
shown,0.25348
willingness,0.21172
google,0.19983
apple,0.18417
switch,0.17207
adjudication,0.15904
away,0.14825
bar,0.14182
fintechs,0.13357
met,0.1285
experience,0.11756
such,0.11728
firms,0.117
loan,0.11357
customer,0.11165
conclusion,0.10783
technology,0.10186
large,0.09931
have,0.07867
services,0.07621
set,0.07454
can,0.07192
from,0.07004
that,0.06443
financial,0.05556
inc,0.05461
id,0.0306
and,0.01343
the,0.00951
overestimated,0.27159
warrant,0.23886
switching,0.22208
sufficiently,0.21787
material,0.20474
struggl,0.19515
adapt,0.18761
especially,0.17147
often,0.16371
new,0.1609
been,0.14726
fintechs,0.14311
innovations,0.14074
costs,0.13013
shift,0.11935
incumbents,0.11668
umbents,0.11622
provider,0.10244
are,0.09927
high,0.09844
has,0.09788
not,0.09146
have,0.08429
customer,0.05981
and,0.01439
the,0.01019
alternative,0.20804
improvements,0.19119
ecosystems,0.18525
much,0.18525
new,0.16685
rails,0.16472
successful,0.1563
been,0.15271
making,0.15214
establish,0.14643
such,0.13031
markets,0.12849
create,0.12732
infrastructure,0.12591
within,0.12537
they,0.11221
capital,0.10464
payment,0.08911
have,0.08741
more,0.08523
services,0.08468
financial,0.06174
tra,0.03543
and,0.01492
ed,0.01193
materially,0.53163
changed,0.46926
caveat,0.26582
yet,0.23463
geographies,0.22048
ecosystems,0.19237
basis,0.19237
have,0.18154
landscape,0.16571
competition,0.15858
fintechs,0.15412
competitive,0.14782
where,0.13598
infrastructure,0.13076
not,0.0985
services,0.08793
ditional,0.087
but,0.07928
financial,0.06411
the,0.02194
and,0.01549
i,3e-05
segments,0.33768
where,0.24382
did,0.20672
meeting,0.19768
not,0.17662
context,0.15486
entrants,0.15192
been,0.14218
approach,0.14062
build,0.13173
significant,0.12698
needs,0.12132
scale,0.12018
exist,0.11647
incumbents,0.11266
providers,0.10394
ncumbent,0.1019
have,0.08138
services,0.07884
new,0.07767
able,0.07425
service,0.06962
customer,0.05775
financial,0.05748
k,0.01684
and,0.01389
fintechs,0.28622
although,0.23235
laid,0.23235
failed,0.21411
findings,0.21352
foundation,0.19311
key,0.18178
overview,0.17608
changing,0.16936
have,0.16857
disruption,0.1646
landscape,0.15388
success,0.13853
competitive,0.13726
disrupt,0.1337
they,0.1082
uncertainties,0.10228
future,0.10046
ey,0.06486
the,0.04074
for,0.02293
pace,0.19274
basis,0.17247
rapidly,0.17247
means,0.16555
disruption,0.15892
rapid,0.15192
well,0.14857
face,0.14494
competition,0.14218
both,0.14218
while,0.12802
now,0.12499
some,0.12311
financial,0.11496
increasing,0.11427
technology,0.10537
they,0.10447
improve,0.10429
potential,0.10045
future,0.09699
have,0.08138
institutions,0.07647
institu,0.07047
that,0.06665
the,0.0295
and,0.01389
opportunity…,0.25348
wait,0.23996
turned,0.21686
externalize,0.21172
tractio,0.19983
parts,0.18632
threat,0.17844
allows,0.1497
rapid,0.14686
offerings,0.14241
growth,0.13403
fintechs,0.13357
function,0.13094
fintech,0.12177
see,0.12145
firms,0.117
which,0.11591
ecosystem,0.11069
gain,0.11024
innovation,0.1072
into,0.10462
they,0.10099
have,0.07867
new,0.07508
their,0.06308
tions,0.0333
the,0.02852
and,0.01343
supermarket,0.29248
deploying,0.25022
acquisitions,0.25022
before,0.22048
proliferation,0.20797
deploy,0.1969
rapidly,0.19237
allowing,0.17447
offerings,0.16432
provides,0.16363
partnerships,0.15465
fintechs,0.15412
capabilities,0.14319
them,0.13252
own,0.12206
sol,0.09586
new,0.08664
institutions,0.08529
use,0.07645
their,0.07278
financial,0.06411
with,0.05633
for,0.0247
and,0.01549
the,0.01097
n,2e-05
accelerating,0.49542
…but,0.28164
predicated,0.26663
serious,0.24771
tempo,0.24771
represents,0.20238
threat,0.19826
cycle,0.19283
means,0.17782
's,0.17259
success,0.14366
agi,0.13289
financial,0.12347
innovation,0.11912
change,0.11164
model,0.11017
business,0.10543
services,0.08468
rate,0.08163
institution,0.07678
that,0.07158
utions,0.07102
the,0.03169
neither,0.28164
competencies,0.22204
ability,0.19885
deploy,0.18961
key,0.18852
rapidly,0.18525
shop,0.16978
context,0.16633
landscape,0.15958
approach,0.15104
partnerships,0.14892
core,0.13675
fintech,0.1353
which,0.12879
findings,0.11071
these,0.10806
uncertainties,0.10607
traditional,0.09333
institutions,0.08213
lity,0.0818
are,0.05147
the,0.03169
and,0.01492
entering,0.28797
long‐term,0.25909
barriers,0.21509
technological,0.21161
significantly,0.19642
entrants,0.18357
face,0.17513
today,0.16812
limited,0.16315
capabilities,0.15512
lower,0.15385
competit,0.13479
incumbent,0.12333
potential,0.12138
implications,0.12025
not,0.10671
services,0.09526
new,0.09386
institutions,0.0924
financial,0.06945
with,0.06102
for,0.05351
the,0.01188
forces,0.33672
landscape,0.30775
commoditization,0.2107
identified,0.19732
eight,0.19732
overview,0.17608
disruptive,0.1646
team,0.15884
competitive,0.13726
project,0.13047
shift,0.11935
ecosystem,0.1186
findings,0.10676
potential,0.10404
cost,0.10181
has,0.09788
key,0.09089
have,0.08429
that,0.06903
financial,0.05953
ive,0.04195
the,0.04074
fi,0.02402
redistribution,0.28796
grounds,0.26023
removing,0.24401
bases,0.2398
commoditization,0.23599
accelerate,0.2293
differentiation,0.2293
new,0.1802
creating,0.17463
points,0.17161
competition,0.16493
profit,0.15515
partnersh,0.1481
them,0.13782
technology,0.12223
cost,0.11403
institutions,0.0887
their,0.07569
will,0.07173
nancial,0.06636
and,0.03223
for,0.02569
the,0.01141
redistributing,0.27688
pure,0.25022
thereby,0.22691
bypass,0.22356
chains,0.22356
pools,0.22048
interface,0.22048
organizations,0.20589
manufacturers,0.19533
theref,0.18351
ownership,0.16297
power,0.15519
owner,0.15412
profit,0.14918
will,0.13794
